~ altgr+\ 
` altgr+shift+\ 
⅟ altgr+1 
¡ altgr+shift+1 
² altgr+2 
³ altgr+3 
á altgr+shift+4 (deadKey)
‰ altgr+6 
⸦ altgr+8 
⸧ altgr+shift+8 
≤ altgr+9 
≥ altgr+shift+9 
≠ altgr+0 
≈ altgr+shift+0 
¿ altgr+' 
ñ altgr+shift+' (deadKey)
∞ altgr+ì 
û altgr+shift+ì (deadKey)
Ì capslock+ì 
∩ altgr+q 
¶ altgr+shift+q 
∂ altgr+w 
¬ altgr+shift+w 
ε altgr+shift+e 
ρ altgr+r 
√ altgr+shift+r 
θ altgr+t 
Θ altgr+shift+t 
ȳ altgr+y 
Ȳ altgr+shift+y 
τ altgr+u 
ι altgr+i 
ω altgr+o 
Ω altgr+shift+o 
π altgr+p 
Π altgr+shift+p 
È capslock+è 
É capslock+shift+è 
α altgr+a 
∀ altgr+shift+a 
σ altgr+s 
Σ altgr+shift+s 
δ altgr+d 
Δ altgr+shift+d 
φ altgr+shift+f 
Φ capslock+altgr+shift+f
γ altgr+g 
Γ altgr+shift+g 
η altgr+h  
ψ altgr+j 
Ψ altgr+shift+j 
ξ altgr+k 
Ξ altgr+shift+k 
λ altgr+l 
Λ altgr+shift+l 
Ø altgr+shift+ò 
Ò capslock+ò 
À capslock+à
v altgr+shift+ù (deadKey)
Ù capslock+ù 
↑ altgr+< 
↓ altgr+shift+< 
ζ altgr+z 
χ altgr+x 
ς altgr+c 
ϑ altgr+shift+c 
υ altgr+v 
β altgr+b 
∫ altgr+n 
⊥ altgr+shift+n 
μ altgr+m 
÷ altgr+, 
× altgr+shift+, 
· altgr+. 
ö altgr+shift+. (deadKey)
± altgr+- 
ū altgr+shift+- (deadKey)
